project_budget,region,tower_type,month,year,weather_index,lead_time_days,material_name,quantity
14649979,Gujarat,Substation,6,2024,0.48,13,High Voltage Fuse,7
12550355,Tamil Nadu,Distribution,2,2024,0.6,25,ACSR Conductor,2484
19460505,Uttar Pradesh,Transmission,1,2025,0.47,17,Insulator Disc,1109
23683167,Madhya Pradesh,Transmission,10,2024,0.77,29,Insulator Disc,1018
18264397,Gujarat,Transmission,4,2025,0.73,16,Galvanized Steel Wire,3999
12988794,Bihar,Transmission,12,2024,0.71,13,Steel Tower,64
20731721,West Bengal,Transmission,2,2025,0.32,12,Steel Tower,103
14259105,Tamil Nadu,Substation,12,2025,0.63,30,ACSR Conductor,3336
21247792,Madhya Pradesh,Substation,11,2024,0.82,15,Steel Tower,63
13932617,Madhya Pradesh,Transmission,8,2025,0.3,23,Relay Panel,4
18558217,Uttar Pradesh,Distribution,6,2025,0.84,22,ACSR Conductor,2913
9069907,Bihar,Substation,3,2025,0.86,22,Galvanized Steel Wire,2258
11035746,Gujarat,Transmission,10,2024,0.65,25,Insulator Disc,540
12802484,Maharashtra,Transmission,12,2024,0.74,17,High Voltage Fuse,9
5683047,Delhi,Transmission,9,2025,0.55,24,Copper Cable 400mm,1017
21067691,Rajasthan,Transmission,6,2025,0.84,15,ACSR Conductor,6130
20627209,Tamil Nadu,Transmission,3,2024,0.31,16,Copper Cable 400mm,3630
8932081,Madhya Pradesh,Substation,5,2025,0.58,13,Circuit Breaker,5
23397695,Madhya Pradesh,Substation,3,2024,0.56,29,Circuit Breaker,8
19895862,Gujarat,Distribution,10,2025,0.72,27,Steel Tower,79
9342300,Maharashtra,Substation,6,2025,0.37,25,Relay Panel,6
5316582,Maharashtra,Transmission,3,2025,0.53,25,Power Transformer 220kV,2
14210373,Bihar,Substation,7,2024,0.54,14,Steel Tower,56
13422350,Uttar Pradesh,Transmission,4,2025,0.83,23,Circuit Breaker,4
7740935,Rajasthan,Substation,2,2024,0.67,25,ACSR Conductor,1215
7418060,Bihar,Distribution,2,2025,0.81,29,Galvanized Steel Wire,1824
12807242,Rajasthan,Substation,1,2024,0.53,15,Power Transformer 220kV,6
22060115,Bihar,Substation,3,2024,0.72,23,Copper Cable 400mm,5029
15269810,Gujarat,Distribution,2,2025,0.55,14,Earthing Rod,748
22578372,Delhi,Substation,8,2025,0.66,23,Steel Tower,67
5413291,Uttar Pradesh,Substation,2,2025,0.68,12,Relay Panel,1
12449543,Rajasthan,Distribution,11,2024,0.52,11,Earthing Rod,572
19719101,Maharashtra,Substation,2,2025,0.82,16,Circuit Breaker,11
21280711,West Bengal,Distribution,3,2024,0.64,14,Earthing Rod,893
14685455,Maharashtra,Transmission,10,2024,0.63,15,Power Transformer 220kV,5
7361343,Rajasthan,Substation,2,2025,0.44,23,Copper Cable 400mm,2149
8606129,Madhya Pradesh,Substation,8,2025,0.83,13,Circuit Breaker,5
10617984,Maharashtra,Distribution,8,2024,0.41,24,High Voltage Fuse,7
13570579,Bihar,Transmission,11,2024,0.67,17,Earthing Rod,678
9780091,Uttar Pradesh,Distribution,3,2025,0.8,27,Steel Tower,48
19102748,Uttar Pradesh,Substation,6,2024,0.39,15,Relay Panel,6
14327103,West Bengal,Distribution,7,2024,0.88,27,Earthing Rod,816
15767610,Madhya Pradesh,Substation,7,2024,0.69,25,Galvanized Steel Wire,4146
17163056,Uttar Pradesh,Transmission,7,2025,0.52,21,Power Transformer 220kV,6
8784915,Maharashtra,Substation,11,2025,0.44,14,Circuit Breaker,6
19442789,Gujarat,Transmission,2,2025,0.51,23,Earthing Rod,1030
20506306,Uttar Pradesh,Substation,3,2025,0.7,25,Circuit Breaker,8
11962789,Delhi,Substation,1,2024,0.47,16,Relay Panel,6
17344233,Madhya Pradesh,Distribution,5,2025,0.87,21,Circuit Breaker,7
8249114,Gujarat,Substation,5,2024,0.88,22,Steel Tower,16
20303947,Tamil Nadu,Distribution,11,2025,0.5,16,Earthing Rod,893
10596532,Bihar,Transmission,2,2025,0.4,10,Copper Cable 400mm,2257
6557334,Karnataka,Distribution,12,2025,0.4,14,Copper Cable 400mm,1075
14979858,Bihar,Distribution,10,2025,0.79,24,Copper Cable 400mm,3804
10653147,West Bengal,Substation,1,2025,0.64,14,Relay Panel,5
11802300,Madhya Pradesh,Distribution,3,2024,0.78,11,High Voltage Fuse,5
16471084,Madhya Pradesh,Transmission,6,2024,0.57,16,Circuit Breaker,6
22685965,Delhi,Substation,1,2024,0.4,21,Steel Tower,68
7083048,Gujarat,Transmission,10,2025,0.78,18,Galvanized Steel Wire,1962
20260122,Karnataka,Distribution,8,2024,0.4,26,Insulator Disc,931
17551052,Maharashtra,Transmission,12,2024,0.42,22,Circuit Breaker,7
7527931,Bihar,Substation,10,2025,0.68,25,Insulator Disc,338
20099461,Gujarat,Distribution,11,2024,0.78,15,Relay Panel,9
9613747,Delhi,Distribution,3,2024,0.3,17,ACSR Conductor,2538
16904829,Rajasthan,Substation,5,2024,0.79,29,High Voltage Fuse,13
18943554,West Bengal,Distribution,4,2025,0.51,14,Relay Panel,9
19990869,West Bengal,Transmission,7,2025,0.9,22,Insulator Disc,1159
13289613,West Bengal,Substation,10,2024,0.65,15,Power Transformer 220kV,4
16910006,Uttar Pradesh,Transmission,6,2025,0.42,25,Copper Cable 400mm,4126
22151122,Delhi,Substation,6,2025,0.85,21,Copper Cable 400mm,4984
8083044,Maharashtra,Distribution,4,2025,0.65,23,Circuit Breaker,6
5989611,Madhya Pradesh,Distribution,10,2025,0.39,20,Relay Panel,4
21892884,Gujarat,Substation,6,2024,0.65,19,High Voltage Fuse,8
14445845,Delhi,Transmission,8,2024,0.53,17,Circuit Breaker,8
12378819,Karnataka,Substation,9,2025,0.62,30,Circuit Breaker,7
22288825,Uttar Pradesh,Distribution,1,2024,0.87,11,Circuit Breaker,17
10734759,Tamil Nadu,Distribution,1,2025,0.64,22,Steel Tower,53
15424465,West Bengal,Distribution,9,2024,0.31,27,Insulator Disc,632
7907038,Uttar Pradesh,Distribution,2,2025,0.86,19,Galvanized Steel Wire,2269
16515394,Madhya Pradesh,Distribution,1,2025,0.44,19,High Voltage Fuse,7
13161147,Rajasthan,Distribution,7,2025,0.75,13,Copper Cable 400mm,2290
20671003,Bihar,Substation,8,2025,0.35,24,Circuit Breaker,6
7717852,Maharashtra,Substation,2,2024,0.56,30,Insulator Disc,370
23067049,Bihar,Transmission,2,2024,0.43,10,High Voltage Fuse,18
6475414,Karnataka,Distribution,4,2024,0.32,24,Circuit Breaker,3
22887875,Delhi,Substation,8,2025,0.63,28,Galvanized Steel Wire,6568
15623141,West Bengal,Substation,2,2024,0.44,13,ACSR Conductor,2843
24384358,Tamil Nadu,Substation,1,2024,0.6,13,Steel Tower,97
24757751,Uttar Pradesh,Substation,5,2025,0.34,15,Copper Cable 400mm,6189
7194290,Madhya Pradesh,Transmission,7,2025,0.85,13,Copper Cable 400mm,1151
14350551,Madhya Pradesh,Distribution,11,2024,0.87,13,ACSR Conductor,3601
10593476,Gujarat,Substation,6,2024,0.66,10,Copper Cable 400mm,2997
13438601,Karnataka,Transmission,10,2025,0.5,23,Steel Tower,67
17925994,Uttar Pradesh,Transmission,3,2024,0.7,11,ACSR Conductor,5341
16062555,Madhya Pradesh,Transmission,12,2025,0.72,20,Galvanized Steel Wire,2971
10521562,Bihar,Distribution,5,2025,0.81,29,Insulator Disc,557
17081511,Rajasthan,Substation,1,2025,0.77,21,Circuit Breaker,10
14446489,Maharashtra,Substation,4,2025,0.6,12,Circuit Breaker,6
18314023,West Bengal,Transmission,8,2024,0.31,15,Insulator Disc,897
23702339,Gujarat,Substation,4,2025,0.36,20,Earthing Rod,1090
24218515,Madhya Pradesh,Substation,12,2025,0.73,14,Power Transformer 220kV,12
15335601,Karnataka,Transmission,3,2024,0.41,15,Copper Cable 400mm,2591
24805459,Karnataka,Substation,11,2025,0.76,23,Relay Panel,12
18779336,Gujarat,Substation,11,2024,0.67,29,ACSR Conductor,4732
13017874,Tamil Nadu,Transmission,5,2024,0.6,16,Earthing Rod,650
7252032,Tamil Nadu,Distribution,9,2024,0.74,11,Galvanized Steel Wire,1580
10387668,Delhi,Transmission,6,2025,0.79,12,Copper Cable 400mm,1599
18709839,Tamil Nadu,Transmission,8,2024,0.73,21,Copper Cable 400mm,5126
15874506,Maharashtra,Substation,10,2025,0.31,10,Power Transformer 220kV,6
21728708,West Bengal,Transmission,4,2024,0.46,17,Galvanized Steel Wire,6366
24234065,West Bengal,Transmission,2,2024,0.55,17,Circuit Breaker,13
22433130,Maharashtra,Distribution,8,2024,0.38,29,High Voltage Fuse,10
5548189,Maharashtra,Transmission,7,2024,0.35,21,Earthing Rod,238
5873228,Gujarat,Substation,3,2025,0.49,23,Power Transformer 220kV,4
18566615,West Bengal,Distribution,2,2024,0.78,20,Power Transformer 220kV,8
6710947,Maharashtra,Transmission,10,2025,0.89,17,Circuit Breaker,3
13738537,Rajasthan,Distribution,12,2025,0.31,16,Copper Cable 400mm,2404
8523250,West Bengal,Distribution,12,2024,0.76,25,ACSR Conductor,2147
6861146,Madhya Pradesh,Substation,6,2025,0.79,17,ACSR Conductor,1914
18520932,Delhi,Distribution,11,2025,0.5,10,Steel Tower,55
21260273,Madhya Pradesh,Transmission,7,2024,0.68,19,Steel Tower,85
22013624,Rajasthan,Transmission,6,2024,0.5,20,Earthing Rod,1034
12062977,Delhi,Transmission,11,2024,0.72,30,Power Transformer 220kV,4
15070991,Maharashtra,Transmission,1,2024,0.46,29,Relay Panel,8
13443337,Maharashtra,Substation,10,2025,0.56,17,ACSR Conductor,2809
10987277,Maharashtra,Distribution,7,2025,0.57,12,Relay Panel,8
14707245,Uttar Pradesh,Transmission,1,2025,0.42,17,Galvanized Steel Wire,2647
23872362,Maharashtra,Distribution,4,2025,0.42,25,Relay Panel,8
20623497,Madhya Pradesh,Distribution,11,2025,0.46,23,ACSR Conductor,6166
22608161,West Bengal,Distribution,8,2025,0.79,22,High Voltage Fuse,10
10371727,Karnataka,Substation,9,2024,0.5,21,Circuit Breaker,6
15417900,Karnataka,Distribution,8,2025,0.61,13,Galvanized Steel Wire,3191
6541028,West Bengal,Substation,1,2024,0.34,11,Relay Panel,5
17059953,Karnataka,Transmission,8,2025,0.87,11,ACSR Conductor,4043
6380074,Uttar Pradesh,Distribution,10,2025,0.52,23,Power Transformer 220kV,2
8557717,Uttar Pradesh,Distribution,5,2025,0.87,30,Relay Panel,5
22276439,West Bengal,Transmission,9,2024,0.64,29,Power Transformer 220kV,12
23593670,Tamil Nadu,Transmission,1,2024,0.59,20,Galvanized Steel Wire,4317
13199473,Madhya Pradesh,Transmission,2,2024,0.82,29,Steel Tower,65
18227836,Uttar Pradesh,Transmission,6,2024,0.71,29,Galvanized Steel Wire,3827
23065635,Rajasthan,Distribution,9,2025,0.77,10,Copper Cable 400mm,4705
10091788,West Bengal,Substation,6,2025,0.48,23,Relay Panel,7
21385147,Karnataka,Transmission,7,2025,0.47,15,Relay Panel,9
11107495,Karnataka,Substation,8,2025,0.41,11,ACSR Conductor,2932
19810849,Karnataka,Substation,4,2025,0.42,20,Galvanized Steel Wire,5804
11338929,Tamil Nadu,Distribution,8,2024,0.5,19,Power Transformer 220kV,7
21326433,West Bengal,Transmission,1,2024,0.4,12,Copper Cable 400mm,6142
9973844,Madhya Pradesh,Transmission,6,2024,0.41,16,Insulator Disc,398
22828271,Madhya Pradesh,Distribution,2,2024,0.62,27,Galvanized Steel Wire,4246
14733934,Delhi,Distribution,6,2025,0.42,15,High Voltage Fuse,9
19442522,Uttar Pradesh,Substation,9,2024,0.49,15,ACSR Conductor,4063
21696273,Karnataka,Substation,8,2025,0.61,23,Earthing Rod,976
16104912,Tamil Nadu,Transmission,12,2024,0.56,21,ACSR Conductor,4428
8072817,Karnataka,Transmission,4,2024,0.48,19,Circuit Breaker,4
16987658,Delhi,Substation,8,2024,0.82,14,Steel Tower,33
14411991,Madhya Pradesh,Distribution,1,2025,0.88,28,ACSR Conductor,3617
12584770,Delhi,Substation,1,2024,0.43,26,Earthing Rod,566
6284320,Rajasthan,Transmission,2,2025,0.33,10,Power Transformer 220kV,2
14615784,Karnataka,Transmission,1,2024,0.37,21,Steel Tower,29
12677043,Uttar Pradesh,Transmission,2,2024,0.41,12,Insulator Disc,545
13305048,Rajasthan,Distribution,1,2025,0.43,27,Copper Cable 400mm,3060
12928468,Delhi,Transmission,12,2024,0.34,26,High Voltage Fuse,6
15453566,Karnataka,Transmission,3,2024,0.9,24,Insulator Disc,803
21196742,Uttar Pradesh,Transmission,10,2025,0.34,13,High Voltage Fuse,7
10230220,West Bengal,Substation,8,2025,0.87,24,Earthing Rod,409
15631536,Tamil Nadu,Substation,4,2024,0.53,18,Circuit Breaker,6
13600946,Gujarat,Distribution,11,2024,0.39,25,High Voltage Fuse,4
17201920,Uttar Pradesh,Distribution,4,2025,0.7,18,Earthing Rod,894
24253499,Delhi,Transmission,1,2024,0.87,27,High Voltage Fuse,12
15163758,Karnataka,Distribution,1,2024,0.66,29,Earthing Rod,727
21258875,West Bengal,Substation,3,2024,0.52,13,ACSR Conductor,4698
13545007,Delhi,Substation,7,2025,0.43,14,Insulator Disc,609
7143095,Karnataka,Distribution,3,2025,0.82,15,ACSR Conductor,1342
23750232,Rajasthan,Substation,12,2025,0.65,22,Circuit Breaker,16
8697259,Bihar,Transmission,8,2025,0.84,17,High Voltage Fuse,6
6166111,Gujarat,Substation,7,2024,0.35,16,Copper Cable 400mm,1467
23035494,Karnataka,Substation,7,2024,0.7,18,High Voltage Fuse,12
9351111,Gujarat,Distribution,1,2024,0.43,10,Circuit Breaker,6
16057199,Tamil Nadu,Substation,5,2025,0.49,28,Earthing Rod,738
24796601,Tamil Nadu,Distribution,2,2024,0.48,12,Earthing Rod,1438
14565495,Tamil Nadu,Transmission,5,2024,0.52,16,High Voltage Fuse,4
18054627,Karnataka,Substation,3,2025,0.68,23,Insulator Disc,1065
19813667,West Bengal,Transmission,11,2024,0.78,11,Galvanized Steel Wire,4101
5865724,Rajasthan,Substation,7,2025,0.39,29,Insulator Disc,234
9010126,Uttar Pradesh,Distribution,9,2025,0.77,28,Steel Tower,27
12263439,Rajasthan,Distribution,7,2024,0.55,27,High Voltage Fuse,9
22677721,Maharashtra,Distribution,6,2025,0.39,29,Copper Cable 400mm,6145
8883077,Maharashtra,Substation,12,2024,0.85,12,Power Transformer 220kV,5
19030236,Delhi,Transmission,5,2025,0.43,14,Galvanized Steel Wire,4491
10713853,Rajasthan,Substation,11,2025,0.34,29,Steel Tower,21
7210050,Karnataka,Transmission,3,2025,0.62,11,Power Transformer 220kV,4
7363084,Gujarat,Transmission,3,2025,0.55,25,Steel Tower,36
19272754,Tamil Nadu,Substation,2,2024,0.74,21,Power Transformer 220kV,11
20949525,Madhya Pradesh,Distribution,11,2024,0.33,13,Circuit Breaker,7
20084061,Karnataka,Distribution,8,2025,0.37,21,Copper Cable 400mm,3213
6486197,Maharashtra,Substation,8,2024,0.53,12,Galvanized Steel Wire,1368
8765049,West Bengal,Distribution,4,2025,0.36,17,Steel Tower,26
17834467,Uttar Pradesh,Substation,10,2024,0.85,14,Galvanized Steel Wire,5118
15040460,Tamil Nadu,Substation,9,2025,0.54,16,ACSR Conductor,2526
8661498,Rajasthan,Transmission,12,2024,0.75,27,ACSR Conductor,1775
7350358,Bihar,Substation,8,2024,0.58,22,Galvanized Steel Wire,1308
11011322,West Bengal,Transmission,8,2025,0.44,17,Insulator Disc,506
21811989,Madhya Pradesh,Distribution,1,2025,0.36,20,Relay Panel,11
7389139,Bihar,Transmission,10,2025,0.6,21,Copper Cable 400mm,1337
24786658,Delhi,Distribution,9,2025,0.79,24,ACSR Conductor,4858
15401881,Rajasthan,Distribution,1,2025,0.88,11,Copper Cable 400mm,2556
22009497,Maharashtra,Distribution,11,2025,0.66,24,Earthing Rod,1232
24614439,Maharashtra,Distribution,6,2024,0.44,13,ACSR Conductor,6005
16676767,Madhya Pradesh,Transmission,9,2025,0.68,20,Relay Panel,9
18513424,Delhi,Distribution,8,2025,0.83,19,Insulator Disc,1092
18738318,Uttar Pradesh,Transmission,9,2025,0.74,25,Copper Cable 400mm,3054
5487334,Karnataka,Transmission,1,2025,0.68,27,ACSR Conductor,1174
17492692,Karnataka,Transmission,9,2025,0.48,26,ACSR Conductor,2833
9358849,Bihar,Transmission,8,2024,0.88,21,Earthing Rod,524
24329078,West Bengal,Substation,5,2025,0.83,29,Insulator Disc,1094
13893099,Maharashtra,Distribution,8,2024,0.72,12,Insulator Disc,680
14835531,Rajasthan,Substation,5,2024,0.4,21,Circuit Breaker,4
22033485,Uttar Pradesh,Transmission,9,2025,0.37,17,Galvanized Steel Wire,6323
10071538,Maharashtra,Transmission,1,2024,0.45,29,High Voltage Fuse,4
16911710,Delhi,Substation,9,2024,0.83,17,Copper Cable 400mm,3906
21974066,Tamil Nadu,Transmission,6,2025,0.58,24,Insulator Disc,1274
13258482,Gujarat,Substation,10,2024,0.5,27,Power Transformer 220kV,10
21262352,Madhya Pradesh,Substation,4,2025,0.69,21,Power Transformer 220kV,16
16723449,Uttar Pradesh,Transmission,12,2024,0.71,13,Circuit Breaker,5
19669095,Rajasthan,Distribution,10,2024,0.6,18,Insulator Disc,1160
17078410,Tamil Nadu,Distribution,11,2024,0.45,14,High Voltage Fuse,10
15925610,Bihar,Distribution,6,2024,0.51,26,Galvanized Steel Wire,4666
7779093,Maharashtra,Substation,2,2024,0.66,20,Steel Tower,15
12946674,Maharashtra,Transmission,3,2024,0.78,29,Steel Tower,51
15897352,Karnataka,Transmission,5,2025,0.52,22,Power Transformer 220kV,7
5779549,Rajasthan,Substation,9,2024,0.41,14,Copper Cable 400mm,1710
13964201,Uttar Pradesh,Transmission,11,2024,0.48,16,Steel Tower,41
11399036,Bihar,Substation,5,2025,0.84,26,Earthing Rod,547
19641031,West Bengal,Distribution,9,2024,0.5,30,ACSR Conductor,4222
14468868,Gujarat,Substation,7,2024,0.74,12,Steel Tower,57
13536075,Maharashtra,Distribution,9,2025,0.5,26,Power Transformer 220kV,9
15588807,Madhya Pradesh,Transmission,5,2024,0.36,28,Insulator Disc,841
19286440,West Bengal,Substation,7,2024,0.41,28,Insulator Disc,790
18759620,Tamil Nadu,Distribution,12,2025,0.78,14,High Voltage Fuse,8
12734676,Uttar Pradesh,Substation,12,2025,0.82,12,Copper Cable 400mm,3743
23047949,Delhi,Transmission,10,2025,0.66,16,High Voltage Fuse,9
17654612,Karnataka,Transmission,3,2025,0.9,21,Insulator Disc,882
12831617,Uttar Pradesh,Substation,1,2024,0.43,15,Insulator Disc,577
14326783,Maharashtra,Distribution,10,2024,0.45,16,Power Transformer 220kV,6
23529900,West Bengal,Distribution,10,2024,0.56,18,Power Transformer 220kV,15
6912618,Bihar,Substation,9,2024,0.76,27,Galvanized Steel Wire,1700
13361819,Rajasthan,Transmission,10,2024,0.79,27,ACSR Conductor,2805
8084992,Maharashtra,Transmission,4,2024,0.87,17,Circuit Breaker,2
10973009,Delhi,Substation,4,2024,0.53,13,Circuit Breaker,6
7740876,Madhya Pradesh,Distribution,1,2025,0.8,17,Relay Panel,4
6363759,Maharashtra,Substation,11,2025,0.33,29,High Voltage Fuse,3
10155555,Delhi,Substation,6,2025,0.63,26,Earthing Rod,477
11335314,Tamil Nadu,Transmission,6,2025,0.76,23,Relay Panel,3
9902956,Gujarat,Substation,11,2025,0.58,18,Steel Tower,29
22555806,Uttar Pradesh,Transmission,11,2024,0.65,19,ACSR Conductor,3608
9993239,Gujarat,Distribution,6,2024,0.58,27,High Voltage Fuse,6
20021209,Bihar,Transmission,6,2024,0.35,26,Power Transformer 220kV,6
6660327,Madhya Pradesh,Substation,10,2025,0.85,21,Earthing Rod,392
16786046,Maharashtra,Substation,7,2025,0.42,20,Insulator Disc,822
11802857,Karnataka,Transmission,7,2025,0.87,14,Circuit Breaker,4
21226676,Bihar,Transmission,4,2025,0.33,25,Circuit Breaker,16
16908339,Karnataka,Substation,12,2025,0.49,13,Circuit Breaker,6
18167145,Gujarat,Substation,2,2025,0.78,23,Power Transformer 220kV,10
24697537,Bihar,Substation,4,2025,0.74,10,Steel Tower,74
18617930,West Bengal,Distribution,3,2024,0.73,29,Steel Tower,55
15793118,West Bengal,Substation,9,2025,0.6,13,Galvanized Steel Wire,3806
15464821,Gujarat,Distribution,1,2025,0.33,20,High Voltage Fuse,7
19248039,Karnataka,Substation,10,2025,0.44,18,Galvanized Steel Wire,3156
19347265,Karnataka,Distribution,5,2025,0.52,13,Relay Panel,10
24129270,Gujarat,Substation,11,2025,0.78,30,Insulator Disc,965
22863419,Bihar,Transmission,5,2025,0.76,27,Power Transformer 220kV,7
15525025,Maharashtra,Transmission,9,2024,0.77,11,Copper Cable 400mm,2778
18507108,Tamil Nadu,Substation,7,2025,0.6,27,Earthing Rod,943
15571603,West Bengal,Transmission,1,2024,0.53,21,High Voltage Fuse,11
22402451,Karnataka,Substation,3,2025,0.89,29,Steel Tower,67
15348308,Tamil Nadu,Transmission,12,2024,0.75,17,Relay Panel,8
15603931,Tamil Nadu,Substation,1,2024,0.56,16,High Voltage Fuse,8
8923794,West Bengal,Distribution,8,2025,0.4,26,Copper Cable 400mm,2123
15640362,Karnataka,Substation,5,2024,0.52,19,Power Transformer 220kV,7
9587676,Gujarat,Distribution,9,2024,0.4,12,ACSR Conductor,2051
19493351,Rajasthan,Transmission,2,2025,0.59,23,High Voltage Fuse,7
24472765,Uttar Pradesh,Distribution,3,2024,0.68,11,High Voltage Fuse,15
21824689,Rajasthan,Transmission,4,2024,0.33,17,Galvanized Steel Wire,5521
12212093,Delhi,Substation,10,2025,0.36,11,Circuit Breaker,4
7298107,Gujarat,Distribution,11,2025,0.57,13,Circuit Breaker,5
5623843,Gujarat,Distribution,1,2025,0.47,21,High Voltage Fuse,2
12268176,Bihar,Distribution,7,2025,0.84,22,High Voltage Fuse,6
18799115,Maharashtra,Distribution,5,2025,0.45,11,Steel Tower,93
22674564,Bihar,Transmission,10,2024,0.6,25,High Voltage Fuse,8
17938548,Rajasthan,Substation,4,2024,0.73,15,Power Transformer 220kV,9
9123780,Gujarat,Substation,4,2025,0.51,20,Galvanized Steel Wire,2144
9142936,West Bengal,Transmission,10,2025,0.33,11,Insulator Disc,548
5809851,Maharashtra,Transmission,10,2025,0.59,26,Power Transformer 220kV,3
10032136,Madhya Pradesh,Distribution,6,2024,0.54,23,Earthing Rod,481
20269685,West Bengal,Distribution,6,2025,0.85,28,High Voltage Fuse,14
11511881,Tamil Nadu,Substation,7,2025,0.59,22,ACSR Conductor,3280
20910899,Bihar,Transmission,5,2025,0.53,24,Steel Tower,83
23114165,Karnataka,Transmission,2,2024,0.71,22,Relay Panel,8
8624414,Madhya Pradesh,Substation,1,2024,0.64,20,ACSR Conductor,1974
19963078,Madhya Pradesh,Distribution,8,2024,0.78,12,Circuit Breaker,7
14620953,Madhya Pradesh,Distribution,3,2025,0.73,19,Steel Tower,29
5146846,Madhya Pradesh,Substation,2,2024,0.6,15,ACSR Conductor,1240
8514667,Delhi,Transmission,8,2025,0.33,25,ACSR Conductor,1651
10987430,Tamil Nadu,Substation,3,2024,0.62,23,Steel Tower,43
19373999,Tamil Nadu,Substation,1,2025,0.78,16,Relay Panel,14
10171796,Maharashtra,Substation,5,2024,0.39,30,Circuit Breaker,4
16794333,Karnataka,Distribution,6,2025,0.61,28,Copper Cable 400mm,4568
12789462,Karnataka,Transmission,10,2024,0.79,16,Relay Panel,3
6627404,Karnataka,Distribution,6,2025,0.73,29,Insulator Disc,384
9135088,Madhya Pradesh,Distribution,12,2025,0.51,19,Relay Panel,6
11333199,Gujarat,Distribution,7,2024,0.75,14,Circuit Breaker,6
14976994,West Bengal,Transmission,5,2024,0.67,22,Circuit Breaker,5
7580696,Bihar,Substation,1,2025,0.75,25,Galvanized Steel Wire,1614
12394477,Karnataka,Transmission,1,2025,0.89,13,High Voltage Fuse,4
12442695,Gujarat,Distribution,12,2025,0.82,29,Circuit Breaker,7
15589242,Gujarat,Substation,9,2025,0.52,19,Galvanized Steel Wire,4302
23761310,West Bengal,Transmission,2,2025,0.81,10,Copper Cable 400mm,6985
21173052,Delhi,Transmission,11,2025,0.82,17,Relay Panel,11
21515808,Delhi,Distribution,10,2024,0.5,17,Steel Tower,107
7795150,Bihar,Substation,2,2024,0.73,13,Insulator Disc,459
11132512,Gujarat,Transmission,3,2025,0.7,30,Steel Tower,44
11392970,Madhya Pradesh,Transmission,7,2024,0.69,28,Steel Tower,56
15454168,Delhi,Transmission,12,2025,0.56,29,Steel Tower,77
23216679,Gujarat,Distribution,8,2025,0.9,19,High Voltage Fuse,7
12076221,Rajasthan,Distribution,12,2024,0.69,14,Relay Panel,7
22855845,Gujarat,Substation,10,2024,0.33,22,ACSR Conductor,6719
16173287,West Bengal,Transmission,10,2025,0.35,13,Earthing Rod,727
16438533,Bihar,Substation,1,2025,0.7,10,Copper Cable 400mm,4290
20237982,Bihar,Substation,12,2025,0.4,21,Circuit Breaker,13
22125168,Delhi,Transmission,11,2025,0.69,23,ACSR Conductor,4447
18684384,Rajasthan,Transmission,4,2025,0.41,12,Insulator Disc,822
24614677,Gujarat,Substation,12,2024,0.72,26,Copper Cable 400mm,6990
8937302,West Bengal,Transmission,10,2025,0.74,29,Galvanized Steel Wire,1367
5561778,Tamil Nadu,Distribution,1,2025,0.46,21,Insulator Disc,305
17897366,Delhi,Substation,3,2024,0.62,11,Copper Cable 400mm,4975
18852989,Delhi,Transmission,2,2024,0.76,12,Steel Tower,75
7647273,Madhya Pradesh,Transmission,6,2025,0.6,25,ACSR Conductor,2011
23440838,Gujarat,Substation,6,2024,0.57,16,Circuit Breaker,16
17460975,Karnataka,Substation,12,2024,0.59,19,Earthing Rod,890
9320517,Gujarat,Substation,3,2024,0.43,14,Earthing Rod,540
22715584,Karnataka,Transmission,1,2025,0.4,14,Earthing Rod,1317
7665532,Karnataka,Substation,4,2025,0.42,13,Earthing Rod,413
16820550,Gujarat,Substation,7,2024,0.68,21,Earthing Rod,925
21488939,Madhya Pradesh,Distribution,12,2025,0.35,19,Galvanized Steel Wire,3459
20328909,Delhi,Transmission,12,2024,0.61,17,Steel Tower,101
12310940,Maharashtra,Transmission,2,2024,0.32,13,Circuit Breaker,7
9764250,West Bengal,Substation,1,2025,0.58,15,Insulator Disc,419
7210679,Maharashtra,Substation,10,2025,0.38,23,Steel Tower,36
24988062,Maharashtra,Distribution,8,2024,0.41,20,Copper Cable 400mm,6946
12469282,Delhi,Transmission,6,2025,0.73,19,Galvanized Steel Wire,1957
15441118,Uttar Pradesh,Substation,8,2025,0.5,18,Earthing Rod,864
14709567,Madhya Pradesh,Distribution,1,2024,0.87,29,Power Transformer 220kV,7
14005126,Madhya Pradesh,Transmission,7,2025,0.64,20,Power Transformer 220kV,9
21877536,Bihar,Distribution,6,2024,0.51,21,Copper Cable 400mm,6410
15528803,Tamil Nadu,Transmission,12,2024,0.31,22,Circuit Breaker,8
9374812,West Bengal,Transmission,7,2024,0.34,14,Earthing Rod,403
18986780,Gujarat,Distribution,5,2024,0.65,18,Power Transformer 220kV,6
9276179,Karnataka,Substation,8,2024,0.87,19,Relay Panel,7
20457055,Tamil Nadu,Substation,10,2024,0.42,10,Power Transformer 220kV,7
23855969,Delhi,Substation,9,2024,0.67,13,Copper Cable 400mm,4914
10926593,Madhya Pradesh,Substation,12,2024,0.59,25,Relay Panel,7
20502189,Tamil Nadu,Substation,9,2025,0.8,12,Relay Panel,12
7002766,Gujarat,Distribution,4,2025,0.36,12,Relay Panel,2
24169863,Maharashtra,Distribution,4,2025,0.84,26,ACSR Conductor,5534
13146002,Karnataka,Distribution,7,2025,0.57,13,Circuit Breaker,7
